SalePrice,YearMade,GearDia,fiModelDesc,state,ProductGroup,HoursOperated,Enclosure
9500,1974,11.26363,TD20,Texas,TTT,8434,OROPS
24000,1986,11.699,416,Florida,BL,7110,EROPS
35000,1975,12.62088,12G,Florida,MG,3357,OROPS
19000,1978,14.33229,644,Florida,WL,8247,OROPS
14000,1980,11.94089,A66,Florida,WL,10150,OROPS
22500,1976,14.13842,930,Florida,WL,7267,EROPS
31000,1986,10.82797,IT12,Florida,WL,7620,EROPS
46000,1987,13.22436,D4H,Florida,TTT,4107,OROPS
17000,1972,15.17075,12F,Florida,MG,3356,OROPS
17000,1972,12.36263,12F,Florida,MG,3356,OROPS
23000,1969,14.34619,966C,Florida,WL,3854,OROPS
23500,1976,11.82999,D6C,Florida,TTT,4123,OROPS
10000,1979,10.90529,D31,Georgia,TTT,8988,OROPS
40000,1978,11.42272,12G,Florida,MG,3357,OROPS
11750,1966,4.92948,12F,Florida,MG,3356,OROPS
26250,1986,5.61595,416,Florida,BL,7110,OROPS
13000,1966,12.89412,12F,Florida,MG,3356,OROPS
11250,1979,12.79993,910,Florida,WL,7257,OROPS
34000,1987,13.94594,416,Florida,BL,7110,OROPS
20000,1984,12.04499,580,Florida,BL,6788,OROPS
10500,1973,10.44876,40,Florida,TEX,8443,EROPS
10500,1966,11.0231,12F,Florida,MG,3356,OROPS
19000,1971,11.98102,D8H,Florida,TTT,4146,OROPS
20000,1970,14.41275,950,Florida,WL,7277,EROPS
81000,1987,8.05541,D6H,Florida,TTT,4128,OROPS
35000,1977,13.00019,D9H,Florida,TTT,4155,OROPS
50000,1987,8.46943,D4H,Florida,TTT,4107,OROPS
33000,1974,15.44443,966C,Florida,WL,3854,EROPS
14000,1968,12.70628,980,Florida,WL,7289,EROPS
26500,1987,12.53848,D3B,Florida,TTT,4089,OROPS
27500,1987,4.36674,D3B,Florida,TTT,4089,OROPS
23000,1975,14.92205,950,Florida,WL,7277,OROPS
12750,1979,11.0096,510,Florida,WL,8180,OROPS
20000,1974,15.1465,225,Florida,TEX,7008,EROPS
25000,1968,15.38651,466,Florida,TEX,8948,EROPS
16000,1980,13.2763,A62,Florida,WL,8591,EROPS
22000,1984,13.36053,D3B,Florida,TTT,4089,OROPS
17000,1973,11.36546,D5,Florida,TTT,7464,OROPS
7700,1978,11.50485,580,Georgia,BL,6788,OROPS
110000,1987,13.1113,225B,Florida,TEX,3406,EROPS
30000,1986,15.2361,WA150,Florida,WL,9105,EROPS
22000,1973,12.42833,950,Florida,WL,7277,EROPS
20500,1979,13.19315,D5BLGP,Florida,TTT,1571,OROPS
28000,1974,11.94311,D8H,Florida,TTT,4146,OROPS
50000,1978,14.73654,D7G,Florida,TTT,4139,OROPS
50000,1984,15.05032,215B,Florida,TEX,23944,EROPS
23500,1972,11.11869,950,Florida,WL,7277,OROPS
18000,1974,12.50405,225,Florida,TEX,7008,EROPS
85000,1983,12.75148,14G,Florida,MG,3371,EROPS
23500,1986,8.88616,416,Florida,BL,7110,OROPS
28000,1973,12.55973,D7F,Florida,TTT,4138,OROPS
17500,1971,11.45615,966C,Florida,WL,3854,OROPS
28000,1982,14.44477,D5BLGP,Florida,TTT,1571,EROPS
39000,1982,12.12304,215,Florida,TEX,7001,EROPS
16000,1977,12.91243,750,Georgia,TTT,8298,OROPS
23500,1974,14.31122,950,Florida,WL,7277,EROPS
9000,1978,12.26323,580,Georgia,BL,6788,OROPS
19000,1983,14.44418,D3B,Florida,TTT,4089,OROPS
11750,1970,15.27216,544,Florida,WL,8202,OROPS
21000,1984,13.85055,580,Florida,BL,6788,OROPS
9500,1977,12.92226,580,Georgia,BL,6788,OROPS
16000,1967,10.78132,14E,Florida,MG,3369,OROPS
120000,1987,14.69147,D7H,Florida,TTT,4140,OROPS
29000,1981,13.03693,930,Florida,WL,7267,EROPS
12500,1979,13.40159,510,Georgia,WL,10727,OROPS
21000,1972,12.46885,D6C,Georgia,TTT,4123,OROPS
23500,1973,11.93835,950,Florida,WL,7277,OROPS
24000,1974,11.99381,D6C,Georgia,TTT,4123,OROPS
10000,1972,10.78853,D4D,Florida,TTT,4103,OROPS
